country,year,gdp_per_capita,internet_users_pct,population,electricity_kwh_pc
Haiti,2024,2142.62330526788,47.8614006,11772557.0,717.5944940526346
Guinea-Bissau,2024,1007.74151728028,29.77739906,2201352.0,717.5944940526346
Indonesia,2024,4925.43048751861,72.78075544,283487931.0,2634.862251084238
Djibouti,2024,3552.72335079222,65.29889679,1168722.0,717.5944940526346
Denmark,2024,71026.4832271897,99.76915157,5976992.0,6165.47587816748
Czechia,2024,31823.3078290564,87.68776014,10905028.0,5876.92209501892
Bosnia and Herzegovina,2024,9358.78768951134,86.10091103,3164253.0,2634.862251084238
Bolivia,2024,4421.16609889999,79.70469666,12413315.0,2634.862251084238
Benin,2024,1485.38018885134,33.98379898,14462724.0,717.5944940526346
Belgium,2024,56614.5679499036,95.77579144,11858610.0,7098.80837636114
Belarus,2024,8317.63399913792,94.26182128,9132629.0,2634.862251084238
Bangladesh,2024,2593.41611680774,53.42171316,173562364.0,717.5944940526346
Botswana,2024,7695.75319445165,57.45950036,2521139.0,2634.862251084238
Bahrain,2024,29653.5682731534,100.0,1588670.0,8388.519553930113
Austria,2024,58268.8787651601,94.91974877,9177982.0,7896.83396633378
Australia,2024,64603.9856308464,96.13140106,27196812.0,9800.04568182477
Armenia,2024,8556.21406956719,81.33930206,3033500.0,2634.862251084238
Argentina,2024,13969.7836603737,89.66715228,45696159.0,2822.09714825266
Angola,2024,2665.87444776753,40.70479965,37885849.0,717.5944940526346
Algeria,2024,5752.99076651465,77.4178009,46814308.0,2634.862251084238
Azerbaijan,2024,7283.8499076179,90.43979645,10202830.0,2634.862251084238
Jordan,2024,4618.09592498567,95.62244985,11552876.0,2634.862251084238
Brazil,2024,10310.5488778166,84.46347227,211998573.0,3068.09612345834
Burkina Faso,2024,981.992649769081,28.25270081,23548781.0,717.5944940526346
Cyprus,2024,38674.29296875,89.60099246,1358282.0,8388.519553930113
Croatia,2024,24050.4397933135,83.63240029,3866200.0,8388.519553930113
Cote d'Ivoire,2024,2727.8935220697,41.43219902,31934230.0,717.5944940526346
Costa Rica,2024,18587.1532203482,87.17019653,5129910.0,2282.30124894979
"Congo, Rep.",2024,2482.2489948456,47.25159836,6332961.0,717.5944940526346
"Congo, Dem. Rep.",2024,649.383338556725,19.67350006,109276265.0,717.5944940526346
Bulgaria,2024,17596.0173663521,82.438955,6441421.0,8388.519553930113
Colombia,2024,7919.20886825345,79.34543299,52886363.0,1551.19383043981
Chile,2024,16709.8893972307,95.590243,19764771.0,4373.3873769648
Chad,2024,961.55975562506,12.62689972,20299123.0,717.5944940526346
Canada,2024,54340.3477224733,94.353302,41288599.0,14084.4933973177
Cameroon,2024,1830.00833684727,46.25880051,29123744.0,717.5944940526346
Cambodia,2024,2627.87969756224,68.47530365,17638801.0,717.5944940526346
