country,scenario,scenario_risk_score
Bulgaria,baseline_demand_low_energy,0.22189220316614516
Bulgaria,baseline_demand_severe_low_energy,0.4437844063322903
Bulgaria,extreme_demand_baseline_energy,0.22189220316614516
Bulgaria,extreme_demand_low_energy,0.4437844063322903
Bulgaria,extreme_demand_severe_low_energy,0.8875688126645807
Bulgaria,high_demand_baseline_energy,0.16641915237460886
Bulgaria,high_demand_low_energy,0.3328383047492177
Bulgaria,high_demand_severe_low_energy,0.6656766094984354
Burkina Faso,baseline_demand_baseline_energy,-1.2122356482447254
Burkina Faso,baseline_demand_low_energy,-2.424471296489451
Burkina Faso,baseline_demand_severe_low_energy,-4.848942592978902
Burkina Faso,extreme_demand_baseline_energy,-2.424471296489451
Burkina Faso,extreme_demand_low_energy,-4.848942592978902
Burkina Faso,extreme_demand_severe_low_energy,-9.697885185957803
Burkina Faso,high_demand_baseline_energy,-1.8183534723670882
Burkina Faso,high_demand_low_energy,-3.6367069447341764
Burkina Faso,high_demand_severe_low_energy,-7.273413889468353
Burundi,baseline_demand_baseline_energy,-1.8117220248165675
Burundi,baseline_demand_low_energy,-3.623444049633135
Burundi,baseline_demand_severe_low_energy,-7.24688809926627
Burundi,extreme_demand_baseline_energy,-3.623444049633135
Burundi,extreme_demand_low_energy,-7.24688809926627
Burundi,extreme_demand_severe_low_energy,-14.49377619853254
Burundi,high_demand_baseline_energy,-2.7175830372248515
Burundi,high_demand_low_energy,-5.435166074449703
Burundi,high_demand_severe_low_energy,-10.870332148899406
Cambodia,baseline_demand_baseline_energy,-0.34543828683113315
Cambodia,baseline_demand_low_energy,-0.6908765736622663
Cambodia,baseline_demand_severe_low_energy,-1.3817531473245326
Cambodia,extreme_demand_baseline_energy,-0.6908765736622663
Cambodia,extreme_demand_low_energy,-1.3817531473245326
Cambodia,extreme_demand_severe_low_energy,-2.763506294649065
Cambodia,high_demand_baseline_energy,-0.5181574302466998
Cambodia,high_demand_low_energy,-1.0363148604933996
Cambodia,high_demand_severe_low_energy,-2.072629720986799
Cameroon,baseline_demand_baseline_energy,-0.5480846584020289
Cameroon,baseline_demand_low_energy,-1.0961693168040578
Cameroon,baseline_demand_severe_low_energy,-2.1923386336081157
Cameroon,extreme_demand_baseline_energy,-1.0961693168040578
Cameroon,extreme_demand_low_energy,-2.1923386336081157
Cameroon,extreme_demand_severe_low_energy,-4.384677267216231
Cameroon,high_demand_baseline_energy,-0.8221269876030434
Cameroon,high_demand_low_energy,-1.6442539752060867
Cameroon,high_demand_severe_low_energy,-3.2885079504121735
Canada,baseline_demand_baseline_energy,0.23194094638961546
Canada,baseline_demand_low_energy,0.4638818927792309
Canada,baseline_demand_severe_low_energy,0.9277637855584618
Canada,extreme_demand_baseline_energy,0.4638818927792309
Canada,extreme_demand_low_energy,0.9277637855584618
Canada,extreme_demand_severe_low_energy,1.8555275711169237
Canada,high_demand_baseline_energy,0.3479114195844232
Canada,high_demand_low_energy,0.6958228391688464
Canada,high_demand_severe_low_energy,1.3916456783376927
Chad,baseline_demand_baseline_energy,-1.4432745859226068
Chad,baseline_demand_low_energy,-2.8865491718452136
Chad,baseline_demand_severe_low_energy,-5.773098343690427
Chad,extreme_demand_baseline_energy,-2.8865491718452136
Chad,extreme_demand_low_energy,-5.773098343690427
Chad,extreme_demand_severe_low_energy,-11.546196687380855
Chad,high_demand_baseline_energy,-2.1649118788839106
Chad,high_demand_low_energy,-4.329823757767821
Chad,high_demand_severe_low_energy,-8.659647515535642
Chile,baseline_demand_baseline_energy,0.28935491301946514
Chile,baseline_demand_low_energy,0.5787098260389303
Chile,baseline_demand_severe_low_energy,1.1574196520778606
Chile,extreme_demand_baseline_energy,0.5787098260389303
Chile,extreme_demand_low_energy,1.1574196520778606
Chile,extreme_demand_severe_low_energy,2.314839304155721
Chile,high_demand_baseline_energy,0.43403236952919777
Chile,high_demand_low_energy,0.8680647390583955
Chile,high_demand_severe_low_energy,1.736129478116791
China,baseline_demand_baseline_energy,0.32520232612885797
China,baseline_demand_low_energy,0.6504046522577159
China,baseline_demand_severe_low_energy,1.3008093045154319
China,extreme_demand_baseline_energy,0.6504046522577159
China,extreme_demand_low_energy,1.3008093045154319
China,extreme_demand_severe_low_energy,2.6016186090308637
China,high_demand_baseline_energy,0.4878034891932869
China,high_demand_low_energy,0.9756069783865738
China,high_demand_severe_low_energy,1.9512139567731477
Colombia,baseline_demand_baseline_energy,0.20093732846864487
Colombia,baseline_demand_low_energy,0.40187465693728974
Colombia,baseline_demand_severe_low_energy,0.8037493138745795
Colombia,extreme_demand_baseline_energy,0.40187465693728974
Colombia,extreme_demand_low_energy,0.8037493138745795
Colombia,extreme_demand_severe_low_energy,1.607498627749159
Colombia,high_demand_baseline_energy,0.30140599270296736
Colombia,high_demand_low_energy,0.6028119854059347
Colombia,high_demand_severe_low_energy,1.2056239708118694
"Congo, Dem. Rep.",baseline_demand_baseline_energy,-1.1734386664599576
"Congo, Dem. Rep.",baseline_demand_low_energy,-2.3468773329199153
"Congo, Dem. Rep.",baseline_demand_severe_low_energy,-4.693754665839831
"Congo, Dem. Rep.",extreme_demand_baseline_energy,-2.3468773329199153
"Congo, Dem. Rep.",extreme_demand_low_energy,-4.693754665839831
"Congo, Dem. Rep.",extreme_demand_severe_low_energy,-9.387509331679661
"Congo, Dem. Rep.",high_demand_baseline_energy,-1.7601579996899366
"Congo, Dem. Rep.",high_demand_low_energy,-3.520315999379873
"Congo, Dem. Rep.",high_demand_severe_low_energy,-7.040631998759746
"Congo, Rep.",baseline_demand_baseline_energy,-0.8113580801401241
"Congo, Rep.",baseline_demand_low_energy,-1.6227161602802482
"Congo, Rep.",baseline_demand_severe_low_energy,-3.2454323205604965
"Congo, Rep.",extreme_demand_baseline_energy,-1.6227161602802482
"Congo, Rep.",extreme_demand_low_energy,-3.2454323205604965
"Congo, Rep.",extreme_demand_severe_low_energy,-6.490864641120993
"Congo, Rep.",high_demand_baseline_energy,-1.2170371202101862
"Congo, Rep.",high_demand_low_energy,-2.4340742404203723
"Congo, Rep.",high_demand_severe_low_energy,-4.868148480840745
Costa Rica,baseline_demand_baseline_energy,0.22691258392956598
Costa Rica,baseline_demand_low_energy,0.45382516785913196
Costa Rica,baseline_demand_severe_low_energy,0.9076503357182639
Costa Rica,extreme_demand_baseline_energy,0.45382516785913196
Costa Rica,extreme_demand_low_energy,0.9076503357182639
Costa Rica,extreme_demand_severe_low_energy,1.8153006714365278
Costa Rica,high_demand_baseline_energy,0.340368875894349
Costa Rica,high_demand_low_energy,0.680737751788698
