country,year,gdp_per_capita,internet_users_pct,population,gdp_scaled,internet_scaled,population_scaled,development_score,scale_score,ai_demand_score_weighted,energy_capacity_score,energy_capacity_pos,ai_risk_score
United Arab Emirates,2015,44910.334995523,90.5,8505237.0,1.3621257685906851,0.8647045582127257,-0.16273224588629667,1.1134151634017053,-0.16273224588629667,0.8068138413391538,2.160850277807636,3.9931362427509027,0.20205016615795043
Ukraine,2015,2094.47387695313,48.8846436813218,45784896.0,-0.8088625299126363,-0.05198637553755403,0.45043515902564424,-0.43042445272509516,0.45043515902564424,-0.22913145364678736,-0.16009617158756714,1.6721897933556997,-0.13702478902647366
Uganda,2015,862.934610355811,5.699999809,37531446.0,-1.4364756223352306,-3.085741423941791,0.37802712714688813,-2.261108523138511,0.37802712714688813,-1.560092965526997,-0.8192446133609798,1.0130413515822871,-1.540009164571871
Turkmenistan,2015,5759.497903834,14.99680042,6215770.0,-0.09256125085251277,-1.7706325575475834,-0.2769649147892248,-0.931596904200048,-0.2769649147892248,-0.7259871241799655,-0.270907047321268,1.5613789176219988,-0.4649653687431964
Turkiye,2015,11064.6494504662,53.7449791423583,78218479.0,0.36985629502380557,0.08850716090870037,0.6455211630824638,0.22918172796625297,0.6455211630824638,0.3403003150981833,-0.21008638581200742,1.6221995791312596,0.2097770949246733
Tunisia,2015,4014.94773686432,46.4999943435776,11402264.0,-0.3480940672824269,-0.12600704010278926,-0.05595352076768066,-0.23705055369260808,-0.05595352076768066,-0.19732847114086718,-0.528159323997503,1.304126640945764,-0.1513108197818602
Togo,2015,751.051987587248,7.119999886,7663195.0,-1.5347159806250814,-2.795267847989079,-0.2007086322738801,-2.1649919143070804,-0.2007086322738801,-1.6424072971146801,-0.8155828889740282,1.0167030759692386,-1.6154247350426751
Timor-Leste,2015,1319.59295003154,18.60000038,1205131.0,-1.1359007493823865,-1.4636601296164953,-0.8745519336659209,-1.299780439499441,-0.8745519336659209,-1.1852793285352081,-0.682011015980444,1.150274948962823,-1.0304313152294133
Thailand,2015,5688.85335397884,39.3161267365004,70540795.0,-0.10130172606950938,-0.3737993184059593,0.6078865913173992,-0.23755052223773435,0.6078865913173992,-0.01937880404053971,-0.30449550319924035,1.5277904617440266,-0.012684202792062286
Tanzania,2015,939.127319335938,10.0,52020962.0,-1.3766082669568849,-2.33654119336705,0.4969498474753221,-1.8565747301619675,0.4969498474753221,-1.244195262592391,-0.8125607043545531,1.019725260588714,-1.2201279213913803
Tajikistan,2015,956.916310930656,18.97999954,8643840.0,-1.3633304236923593,-1.4346431452255692,-0.15684386322346594,-1.3989867844589643,-0.15684386322346594,-1.0866682361117594,-0.5104631148335659,1.321822850109701,-0.8220982380669047
Syrian Arab Republic,2015,847.731631942565,29.97979927,19424618.0,-1.4490514631485658,-0.7718556806121704,0.1381043653592802,-1.110453571880368,0.1381043653592802,-0.8152439821338658,-0.6657820674036747,1.166503897539592,-0.6988780610621113
Switzerland,2015,83806.4476003837,87.4790555978675,8282396.0,1.804008573238201,0.813971196746755,-0.17240356758517034,1.308989884992478,-0.17240356758517034,0.9633924562603521,0.7647041310425023,2.5969900959857695,0.3709650097431989
Sweden,2015,51188.1652120493,90.6101966398616,9799186.0,1.4548028869599894,0.8665233708363137,-0.11114518441907482,1.1606631288981515,-0.11114518441907482,0.8574180384719369,2.049448122465657,3.881734087408924,0.2208853103186848
Sudan,2015,1292.37963867188,12.0,40024431.0,-1.1506498566778447,-2.0841006026907465,0.4014537306414209,-1.6173752296842956,0.4014537306414209,-1.089331720952544,-0.7814831555436608,1.050802809399606,-1.0366661672468807
Sri Lanka,2015,4057.7158346231,15.26249981,20970000.0,-0.3405904747696371,-1.7457395414484627,0.1659899063894732,-1.04316500810905,0.1659899063894732,-0.7057475528174484,-0.7103982295193673,1.1218877354238996,-0.6290714574491584
Spain,2015,25982.4416197775,78.6896318703515,46422303.0,0.974502204021529,0.6558670458323229,0.45547148285231576,0.8151846249269259,0.45547148285231576,0.7332222183630035,0.3331815747721177,2.165467539715385,0.33859764919836827
